mint,slot,status,origin,fee_payer,signature,solscan_url
AW2ZmQD82s3cE3fpAFNycPq8xNSVLd3z23p3zWqCvMif,417951040,OK,OUTSIDE,v2nMsb3Kc7HnB3tujQcQkxzbGvqHGm5tWDBKtp5SGfL,3ri2jNjfig7HJ8KY7ouApgAEvQ4TiuJoc7ooPxEpyarWDa3EFXi2vpuHDuqHgPBBcgTJGbQ5LPanpjQqb2PfBLVJ,https://solscan.io/tx/3ri2jNjfig7HJ8KY7ouApgAEvQ4TiuJoc7ooPxEpyarWDa3EFXi2vpuHDuqHgPBBcgTJGbQ5LPanpjQqb2PfBLVJ
AW2ZmQD82s3cE3fpAFNycPq8xNSVLd3z23p3zWqCvMif,417950068,OK,OUTSIDE,EiFNqJ7uX95As6XRa3swWYDzaRg8oq5sfwVhBTHUAxuj,5xX9wKrjvP367ynYcehp2hkcURedmvWogK8kR8vARCTy2AoK7xf1VBuiHvTRPaPbHosyr7JqNBtgH5rgDmGpaMHS,https://solscan.io/tx/5xX9wKrjvP367ynYcehp2hkcURedmvWogK8kR8vARCTy2AoK7xf1VBuiHvTRPaPbHosyr7JqNBtgH5rgDmGpaMHS
AW2ZmQD82s3cE3fpAFNycPq8xNSVLd3z23p3zWqCvMif,417949869,OK,OUTSIDE,Dx2tgB59kd2iDMaF5R8iZNKwxWdn1D9JCSca1rpoRuut,3pQBFskrfDJZEdAGSzCXMys2Vf3XF5otfEnmD1ErdGrxki85fmA7XVWbeUnVRFCvUtV6zVYgK47uscTezVYL7nSG,https://solscan.io/tx/3pQBFskrfDJZEdAGSzCXMys2Vf3XF5otfEnmD1ErdGrxki85fmA7XVWbeUnVRFCvUtV6zVYgK47uscTezVYL7nSG
AW2ZmQD82s3cE3fpAFNycPq8xNSVLd3z23p3zWqCvMif,417948800,OK,OUTSIDE,BiKtsT32HVGgpq5XEbnFKnLkx1S5vtvCZJRQE9jjmHXn,3195koRo2GvdakFXszpSzLkPs7nXGqvJQdLjTarR7ggijxGctrS9aZBLd2i6SZVURA2MM2hXTHQWYVE4s5pdEgyt,https://solscan.io/tx/3195koRo2GvdakFXszpSzLkPs7nXGqvJQdLjTarR7ggijxGctrS9aZBLd2i6SZVURA2MM2hXTHQWYVE4s5pdEgyt
AW2ZmQD82s3cE3fpAFNycPq8xNSVLd3z23p3zWqCvMif,417948315,OK,OUTSIDE,8Au6GPhMFQ9sN7VwQxBEo2kxuyf4pmPiBcZtFe96aeoQ,4yYGs9j8g45J9h3DRZNMUn7MLafQ48xTHQ1XkK1r6wwuwSQE3MD91zBQhLugMafTCM8GLbMLRBLjkY3Y6BSrqEP1,https://solscan.io/tx/4yYGs9j8g45J9h3DRZNMUn7MLafQ48xTHQ1XkK1r6wwuwSQE3MD91zBQhLugMafTCM8GLbMLRBLjkY3Y6BSrqEP1
AW2ZmQD82s3cE3fpAFNycPq8xNSVLd3z23p3zWqCvMif,417948240,OK,OURS,Cy3HBLEY3BX3BYYbtGorWWtxgsJgJjg5idWvZAPrut62,3q3hERNfzDeMTF321MwCroekJbFksrTiaCcLi77XB1urM8fbQThzDmnkza48fQzatEtBWje3nMxC66TYJ6z1GxaR,https://solscan.io/tx/3q3hERNfzDeMTF321MwCroekJbFksrTiaCcLi77XB1urM8fbQThzDmnkza48fQzatEtBWje3nMxC66TYJ6z1GxaR
AW2ZmQD82s3cE3fpAFNycPq8xNSVLd3z23p3zWqCvMif,417948240,OK,OURS,DfwB3K4TLo7CEW2XgN2MobV9pySaMEei611DojUz2VXB,q9hJbzBNohqTcycwnCbXjRCRw2Pf79dRPytQHF6W2VxZcA4LTBcSGqk29veaSxxaB15GFHu2hTNK31Pi25MR9xz,https://solscan.io/tx/q9hJbzBNohqTcycwnCbXjRCRw2Pf79dRPytQHF6W2VxZcA4LTBcSGqk29veaSxxaB15GFHu2hTNK31Pi25MR9xz
AW2ZmQD82s3cE3fpAFNycPq8xNSVLd3z23p3zWqCvMif,417948240,OK,OURS,5mXseyzyHsdxqkBFAVjDMUEr3phjWoiymEdiq1EQuuEk,3b5GXPxirq7i7Q1PQNcYBUi4eNEgEK1eREdNjAKdCFsNw8kQXysp2sHUbbXud3Q66TGMfQzXwzPBsofRwmhoZQ9S,https://solscan.io/tx/3b5GXPxirq7i7Q1PQNcYBUi4eNEgEK1eREdNjAKdCFsNw8kQXysp2sHUbbXud3Q66TGMfQzXwzPBsofRwmhoZQ9S
AW2ZmQD82s3cE3fpAFNycPq8xNSVLd3z23p3zWqCvMif,417948240,OK,OURS,DxYsb32mCGn9MPnTB565oPXUztquz3i4sw3RHxd5rww9,5tFMTrKUYpYw1eQgyGpW9qoDDiyXvB1SdtKasc6aMHLqfqj1E276fzLBvdRAtaYNBUk2R8jzEV2d1yxAyAafLz4T,https://solscan.io/tx/5tFMTrKUYpYw1eQgyGpW9qoDDiyXvB1SdtKasc6aMHLqfqj1E276fzLBvdRAtaYNBUk2R8jzEV2d1yxAyAafLz4T
AW2ZmQD82s3cE3fpAFNycPq8xNSVLd3z23p3zWqCvMif,417948238,OK,OURS,13QXdvL34f1pEB8XoF44RCLVTWxzVuUvvCbXnrCXhfrt,8s7sZ3tQEmBskwUFECoZeRHjnw5TYtLoa5sQ48PfWHSqJevVLBe5MNg4PcisbM8x47EMMJh5AmHuJajj1dGi6RC,https://solscan.io/tx/8s7sZ3tQEmBskwUFECoZeRHjnw5TYtLoa5sQ48PfWHSqJevVLBe5MNg4PcisbM8x47EMMJh5AmHuJajj1dGi6RC
